"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
23001010400,"ME75","Maine",23001,3,107317,467.949,44.0852185,-70.2442931,5.467670346,"Walgreens #19908","575 LISBON STREET",44.004663,-70.075061,44.004663,-70.075061,16241.2914290894,107317,467.949,3,3,229.334820674903,1219.20891633564
23001010400,"ME83","Maine",23001,3,107317,467.949,44.0852185,-70.2442931,5.467670346,"Hannaford Supermarket & Pharmacy","50 Pigeon Hill Rd",44.078188,-70.415454,44.078188,-70.415454,13709.4395908347,107317,467.949,3,3,229.334820674903,1111.14947987893
23001010500,"ME57","Maine",23001,3,107317,467.949,44.0847939,-70.2233946,4.465302877,"Hannaford Supermarket & Pharmacy","130 Shaker Rd",43.903123,-70.343657,43.893039,-70.342705,22399.7702888903,289173,835.947,2,3,345.922648206166,1472.50075336231
23001010500,"ME6","Maine",23001,3,107317,467.949,44.0847939,-70.2233946,4.465302877,"HANNAFORD FOOD AND DRUG","95 SPRING ST",44.096145,-70.230025,44.0992168666667,-70.2165329333333,1370.29873367749,107317,467.949,3,3,229.334820674903,584.514948095461
23001010500,"ME61","Maine",23001,3,107317,467.949,44.0847939,-70.2233946,4.465302877,"Greene Village Pharmacy","526 Route 202",44.187181,-70.154998,44.187181,-70.154998,12639.8845313312,107317,467.949,3,3,229.334820674903,1065.50086993932
23001010500,"ME66","Maine",23001,3,107317,467.949,44.0847939,-70.2233946,4.465302877,"Hannaford Supermarket & Pharmacy","23 Snell Hill Rd",44.250738,-70.261457,44.250738,-70.261457,18721.1637185067,107317,467.949,3,3,229.334820674903,1325.04986564797
23001010500,"ME75","Maine",23001,3,107317,467.949,44.0847939,-70.2233946,4.465302877,"Walgreens #19908","575 LISBON STREET",44.004663,-70.075061,44.004663,-70.075061,14847.3482694164,107317,467.949,3,3,229.334820674903,1159.7154222808
23001010500,"ME83","Maine",23001,3,107317,467.949,44.0847939,-70.2233946,4.465302877,"Hannaford Supermarket & Pharmacy","50 Pigeon Hill Rd",44.078188,-70.415454,44.078188,-70.415454,15375.9045705502,107317,467.949,3,3,229.334820674903,1182.27420521319
23001010600,"ME23","Maine",23001,3,107317,467.949,44.030417,-70.2323963,7.135181887,"CVS Pharmacy #08245","10 Middle St",43.857527,-70.10107,43.8265035,-70.14710225,21936.444402753,289173,835.947,2,3,345.922648206166,1452.72600454197
23001010600,"ME57","Maine",23001,3,107317,467.949,44.030417,-70.2323963,7.135181887,"Hannaford Supermarket & Pharmacy","130 Shaker Rd",43.903123,-70.343657,43.893039,-70.342705,16741.0626488805,289173,835.947,2,3,345.922648206166,1230.98711128669
23001010600,"ME6","Maine",23001,3,107317,467.949,44.030417,-70.2323963,7.135181887,"Walgreens #19162","698 MINOT AVENUE",44.08156,-70.255658,44.0992168666667,-70.2165329333333,5989.64390463014,107317,467.949,3,3,229.334820674903,781.66859999172
23001010600,"ME61","Maine",23001,3,107317,467.949,44.030417,-70.2323963,7.135181887,"Greene Village Pharmacy","526 Route 202",44.187181,-70.154998,44.187181,-70.154998,18514.9969243428,107317,467.949,3,3,229.334820674903,1316.25066687306
23001010600,"ME75","Maine",23001,3,107317,467.949,44.030417,-70.2323963,7.135181887,"Walgreens #19908","575 LISBON STREET",44.004663,-70.075061,44.004663,-70.075061,12917.3050439927,107317,467.949,3,3,229.334820674903,1077.34117741971
23001010600,"ME83","Maine",23001,3,107317,467.949,44.030417,-70.2323963,7.135181887,"Hannaford Supermarket & Pharmacy","50 Pigeon Hill Rd",44.078188,-70.415454,44.078188,-70.415454,15580.8003498243,107317,467.949,3,3,229.334820674903,1191.01915707261
23001010600,"ME9","Maine",23001,3,107317,467.949,44.030417,-70.2323963,7.135181887,"CVS Pharmacy #17213","125 TOPSHAM FAIR MALL RD",43.933655,-69.985398,43.9172599090909,-69.9179987272727,22526.897164051,289173,835.947,2,3,345.922648206166,1477.92652839417
23001010700,"ME57","Maine",23001,3,107317,467.949,44.0696191,-70.2896961,7.618923035,"Hannaford Supermarket & Pharmacy","130 Shaker Rd",43.903123,-70.343657,43.893039,-70.342705,19031.5112508058,289173,835.947,2,3,345.922648206166,1328.74345761686
23001010700,"ME6","Maine",23001,3,107317,467.949,44.0696191,-70.2896961,7.618923035,"Walgreens #19162","698 MINOT AVENUE",44.08156,-70.255658,44.0992168666667,-70.2165329333333,3029.38500691525,107317,467.949,3,3,229.334820674903,655.324750237248
23001010700,"ME61","Maine",23001,3,107317,467.949,44.0696191,-70.2896961,7.618923035,"Greene Village Pharmacy","526 Route 202",44.187181,-70.154998,44.187181,-70.154998,16944.1786445965,107317,467.949,3,3,229.334820674903,1249.20814269348
23001010700,"ME66","Maine",23001,3,107317,467.949,44.0696191,-70.2896961,7.618923035,"Hannaford Supermarket & Pharmacy","23 Snell Hill Rd",44.250738,-70.261457,44.250738,-70.261457,20287.7947269651,107317,467.949,3,3,229.334820674903,1391.91367708898
23001010700,"ME75","Maine",23001,3,107317,467.949,44.0696191,-70.2896961,7.618923035,"Walgreens #19908","575 LISBON STREET",44.004663,-70.075061,44.004663,-70.075061,18636.4315757123,107317,467.949,3,3,229.334820674903,1321.43349779351
23001010700,"ME83","Maine",23001,3,107317,467.949,44.0696191,-70.2896961,7.618923035,"Hannaford Supermarket & Pharmacy","50 Pigeon Hill Rd",44.078188,-70.415454,44.078188,-70.415454,10102.8372117674,107317,467.949,3,3,229.334820674903,957.219690340338
23001010800,"ME6","Maine",23001,3,107317,467.949,44.1007244,-70.2578317,9.070146469,"CVS Pharmacy #02382","8 UNION ST",44.09852,-70.231836,44.0992168666667,-70.2165329333333,2092.58544739836,107317,467.949,3,3,229.334820674903,615.342145037067
23001010800,"ME61","Maine",23001,3,107317,467.949,44.1007244,-70.2578317,9.070146469,"Greene Village Pharmacy","526 Route 202",44.187181,-70.154998,44.187181,-70.154998,12653.3082613948,107317,467.949,3,3,229.334820674903,1066.07379473844
23001010800,"ME66","Maine",23001,3,107317,467.949,44.1007244,-70.2578317,9.070146469,"Hannaford Supermarket & Pharmacy","23 Snell Hill Rd",44.250738,-70.261457,44.250738,-70.261457,16701.9457085874,107317,467.949,3,3,229.334820674903,1238.86964098462
23001010800,"ME75","Maine",23001,3,107317,467.949,44.1007244,-70.2578317,9.070146469,"Walgreens #19908","575 LISBON STREET",44.004663,-70.075061,44.004663,-70.075061,18115.5298352813,107317,467.949,3,3,229.334820674903,1299.20141151191
23001010800,"ME83","Maine",23001,3,107317,467.949,44.1007244,-70.2578317,9.070146469,"Hannaford Supermarket & Pharmacy","50 Pigeon Hill Rd",44.078188,-70.415454,44.078188,-70.415454,12850.0723060298,107317,467.949,3,3,229.334820674903,1074.47168416346
23001020100,"ME6","Maine",23001,3,107317,467.949,44.0946118,-70.2183518,2.916400941,"Bedard Pharmacy","61 College St",44.099942,-70.212131,44.0992168666667,-70.2165329333333,774.209403362211,107317,467.949,3,3,229.334820674903,559.073855477604
23001020100,"ME61","Maine",23001,3,107317,467.949,44.0946118,-70.2183518,2.916400941,"Greene Village Pharmacy","526 Route 202",44.187181,-70.154998,44.187181,-70.154998,11480.5319609755,107317,467.949,3,3,229.334820674903,1016.01970223654
23001020100,"ME66","Maine",23001,3,107317,467.949,44.0946118,-70.2183518,2.916400941,"Hannaford Supermarket & Pharmacy","23 Snell Hill Rd",44.250738,-70.261457,44.250738,-70.261457,17717.3784225367,107317,467.949,3,3,229.334820674903,1282.20830921597
23001020100,"ME75","Maine",23001,3,107317,467.949,44.0946118,-70.2183518,2.916400941,"Walgreens #19908","575 LISBON STREET",44.004663,-70.075061,44.004663,-70.075061,15221.6561557907,107317,467.949,3,3,229.334820674903,1175.69088287125
23001020100,"ME83","Maine",23001,3,107317,467.949,44.0946118,-70.2183518,2.916400941,"Hannaford Supermarket & Pharmacy","50 Pigeon Hill Rd",44.078188,-70.415454,44.078188,-70.415454,15865.948536023,107317,467.949,3,3,229.334820674903,1203.18928165957
23001020200,"ME6","Maine",23001,3,107317,467.949,44.1063256,-70.2162485,3.090826835,"CMMC Pharmacy","12 High Street",44.102278,-70.214661,44.0992168666667,-70.2165329333333,468.105206359148,107317,467.949,3,3,229.334820674903,546.009328349514
23001020200,"ME61","Maine",23001,3,107317,467.949,44.1063256,-70.2162485,3.090826835,"Greene Village Pharmacy","526 Route 202",44.187181,-70.154998,44.187181,-70.154998,10244.5792113534,107317,467.949,3,3,229.334820674903,963.269238882669
23001020200,"ME66","Maine",23001,3,107317,467.949,44.1063256,-70.2162485,3.090826835,"Hannaford Supermarket & Pharmacy","23 Snell Hill Rd",44.250738,-70.261457,44.250738,-70.261457,16476.0902101085,107317,467.949,3,3,229.334820674903,1229.23012830954
23001020200,"ME75","Maine",23001,3,107317,467.949,44.1063256,-70.2162485,3.090826835,"Walgreens #19908","575 LISBON STREET",44.004663,-70.075061,44.004663,-70.075061,15989.2816583882,107317,467.949,3,3,229.334820674903,1208.45313932211
23001020200,"ME83","Maine",23001,3,107317,467.949,44.1063256,-70.2162485,3.090826835,"Hannaford Supermarket & Pharmacy","50 Pigeon Hill Rd",44.078188,-70.415454,44.078188,-70.415454,16231.9402938774,107317,467.949,3,3,229.334820674903,1218.80980988479
23001020300,"ME6","Maine",23001,3,107317,467.949,44.1019434,-70.2021987,14.40990449,"The Medicine Shoppe Pharmacy","373 SABATTUS ST",44.100739,-70.196305,44.0992168666667,-70.2165329333333,489.845653721847,107317,467.949,3,3,229.334820674903,546.937210642954
23001020300,"ME61","Maine",23001,3,107317,467.949,44.1019434,-70.2021987,14.40990449,"Greene Village Pharmacy","526 Route 202",44.187181,-70.154998,44.187181,-70.154998,10210.2846268775,107317,467.949,3,3,229.334820674903,961.805546017237
23001020300,"ME66","Maine",23001,3,107317,467.949,44.1019434,-70.2021987,14.40990449,"Hannaford Supermarket & Pharmacy","23 Snell Hill Rd",44.250738,-70.261457,44.250738,-70.261457,17226.1563876025,107317,467.949,3,3,229.334820674903,1261.24295276498
23001020300,"ME75","Maine",23001,3,107317,467.949,44.1019434,-70.2021987,14.40990449,"Walgreens #19908","575 LISBON STREET",44.004663,-70.075061,44.004663,-70.075061,14857.0835096323,107317,467.949,3,3,229.334820674903,1160.13092233321
23001020300,"ME83","Maine",23001,3,107317,467.949,44.1019434,-70.2021987,14.40990449,"Hannaford Supermarket & Pharmacy","50 Pigeon Hill Rd",44.078188,-70.415454,44.078188,-70.415454,17254.6445614412,107317,467.949,3,3,229.334820674903,1262.45882802442
23001020400,"ME6","Maine",23001,3,107317,467.949,44.0891966,-70.207949,6.390964741,"CVS Pharmacy #00156","10 EAST AVENUE LEWISTON SC",44.085992,-70.204877,44.0992168666667,-70.2165329333333,433.121665788786,107317,467.949,3,3,229.334820674903,544.516230837971
23001020400,"ME61","Maine",23001,3,107317,467.949,44.0891966,-70.207949,6.390964741,"Greene Village Pharmacy","526 Route 202",44.187181,-70.154998,44.187181,-70.154998,11699.15015902,107317,467.949,3,3,229.334820674903,1025.35032692908
23001020400,"ME66","Maine",23001,3,107317,467.949,44.0891966,-70.207949,6.390964741,"Hannaford Supermarket & Pharmacy","23 Snell Hill Rd",44.250738,-70.261457,44.250738,-70.261457,18483.2747182532,107317,467.949,3,3,229.334820674903,1314.89676311715
23001020400,"ME75","Maine",23001,3,107317,467.949,44.0891966,-70.207949,6.390964741,"Walgreens #19908","575 LISBON STREET",44.004663,-70.075061,44.004663,-70.075061,14198.8979593035,107317,467.949,3,3,229.334820674903,1132.03956304518
23001020400,"ME83","Maine",23001,3,107317,467.949,44.0891966,-70.207949,6.390964741,"Hannaford Supermarket & Pharmacy","50 Pigeon Hill Rd",44.078188,-70.415454,44.078188,-70.415454,16638.0139581958,107317,467.949,3,3,229.334820674903,1236.1410338779
23001020500,"ME6","Maine",23001,3,107317,467.949,44.0847333,-70.1988386,9.032935611,"OSCO PHARMACY #4559","27 EAST AVE",44.086232,-70.199966,44.0992168666667,-70.2165329333333,189.632384233608,107317,467.949,3,3,229.334820674903,534.124108301196
23001020500,"ME61","Maine",23001,3,107317,467.949,44.0847333,-70.1988386,9.032935611,"Greene Village Pharmacy","526 Route 202",44.187181,-70.154998,44.187181,-70.154998,11930.1620241955,107317,467.949,3,3,229.334820674903,1035.20991333477
23001020500,"ME66","Maine",23001,3,107317,467.949,44.0847333,-70.1988386,9.032935611,"Hannaford Supermarket & Pharmacy","23 Snell Hill Rd",44.250738,-70.261457,44.250738,-70.261457,19144.051199142,107317,467.949,3,3,229.334820674903,1343.09870332149
23001020500,"ME75","Maine",23001,3,107317,467.949,44.0847333,-70.1988386,9.032935611,"Walgreens #19908","575 LISBON STREET",44.004663,-70.075061,44.004663,-70.075061,13324.4799543297,107317,467.949,3,3,229.334820674903,1094.7194025929
23001020500,"ME83","Maine",23001,3,107317,467.949,44.0847333,-70.1988386,9.032935611,"Hannaford Supermarket & Pharmacy","50 Pigeon Hill Rd",44.078188,-70.415454,44.078188,-70.415454,17337.2911958972,107317,467.949,3,3,229.334820674903,1265.986186383
23001020600,"ME23","Maine",23001,3,107317,467.949,44.0434699,-70.1645417,5.967691242,"CVS Pharmacy #08245","10 Middle St",43.857527,-70.10107,43.8265035,-70.14710225,21314.9533288401,289173,835.947,2,3,345.922648206166,1426.20076550736
23001020600,"ME57","Maine",23001,3,107317,467.949,44.0434699,-70.1645417,5.967691242,"Hannaford Supermarket & Pharmacy","130 Shaker Rd",43.903123,-70.343657,43.893039,-70.342705,21213.0471393827,289173,835.947,2,3,345.922648206166,1421.85140934132
23001020600,"ME6","Maine",23001,3,107317,467.949,44.0434699,-70.1645417,5.967691242,"OSCO PHARMACY #4559","27 EAST AVE",44.086232,-70.199966,44.0992168666667,-70.2165329333333,5539.76991984038,107317,467.949,3,3,229.334820674903,762.467978320893
23001020600,"ME61","Maine",23001,3,107317,467.949,44.0434699,-70.1645417,5.967691242,"Greene Village Pharmacy","526 Route 202",44.187181,-70.154998,44.187181,-70.154998,16016.0189221334,107317,467.949,3,3,229.334820674903,1209.59428573876
23001020600,"ME75","Maine",23001,3,107317,467.949,44.0434699,-70.1645417,5.967691242,"Walgreens #19908","575 LISBON STREET",44.004663,-70.075061,44.004663,-70.075061,8364.33032639156,107317,467.949,3,3,229.334820674903,883.020216472497
23001020600,"ME83","Maine",23001,3,107317,467.949,44.0434699,-70.1645417,5.967691242,"Hannaford Supermarket & Pharmacy","50 Pigeon Hill Rd",44.078188,-70.415454,44.078188,-70.415454,20440.2687195116,107317,467.949,3,3,229.334820674903,1398.42126709086
23001020600,"ME9","Maine",23001,3,107317,467.949,44.0434699,-70.1645417,5.967691242,"HANNAFORD FOOD AND DRUG","49 TOPSHAM FAIR MALL ROAD SUITE 1",43.9389,-69.980095,43.9172599090909,-69.9179987272727,18807.3982278426,289173,835.947,2,3,345.922648206166,1319.17831379679
23001020700,"ME6","Maine",23001,3,107317,467.949,44.1054804,-70.1839666,13.08659338,"Hannaford Supermarket & Pharmacy","692 SABATTUS ST",44.102882,-70.179831,44.0992168666667,-70.2165329333333,439.262828534907,107317,467.949,3,3,229.334820674903,544.778335663975
23001020700,"ME61","Maine",23001,3,107317,467.949,44.1054804,-70.1839666,13.08659338,"Greene Village Pharmacy","526 Route 202",44.187181,-70.154998,44.187181,-70.154998,9384.62197317905,107317,467.949,3,3,229.334820674903,926.566263957387
23001020700,"ME66","Maine",23001,3,107317,467.949,44.1054804,-70.1839666,13.08659338,"Hannaford Supermarket & Pharmacy","23 Snell Hill Rd",44.250738,-70.261457,44.250738,-70.261457,17313.0510960433,107317,467.949,3,3,229.334820674903,1264.95161892123
23001020700,"ME75","Maine",23001,3,107317,467.949,44.1054804,-70.1839666,13.08659338,"Walgreens #19908","575 LISBON STREET",44.004663,-70.075061,44.004663,-70.075061,14207.9278137025,107317,467.949,3,3,229.334820674903,1132.42495723093
23001020700,"ME83","Maine",23001,3,107317,467.949,44.1054804,-70.1839666,13.08659338,"Hannaford Supermarket & Pharmacy","50 Pigeon Hill Rd",44.078188,-70.415454,44.078188,-70.415454,18755.6961858482,107317,467.949,3,3,229.334820674903,1326.52371135411
23001020800,"ME6","Maine",23001,3,107317,467.949,44.1021747,-70.1497087,18.14959565,"Hannaford Supermarket & Pharmacy","692 SABATTUS ST",44.102882,-70.179831,44.0992168666667,-70.2165329333333,2409.20441473422,107317,467.949,3,3,229.334820674903,628.855442562962
23001020800,"ME61","Maine",23001,3,107317,467.949,44.1021747,-70.1497087,18.14959565,"Greene Village Pharmacy","526 Route 202",44.187181,-70.154998,44.187181,-70.154998,9472.28592446063,107317,467.949,3,3,229.334820674903,930.307761398085
23001020800,"ME66","Maine",23001,3,107317,467.949,44.1021747,-70.1497087,18.14959565,"Hannaford Supermarket & Pharmacy","23 Snell Hill Rd",44.250738,-70.261457,44.250738,-70.261457,18791.0295078445,107317,467.949,3,3,229.334820674903,1328.03173753691
23001020800,"ME75","Maine",23001,3,107317,467.949,44.1021747,-70.1497087,18.14959565,"Walgreens #19908","575 LISBON STREET",44.004663,-70.075061,44.004663,-70.075061,12389.3697245918,107317,467.949,3,3,229.334820674903,1054.80889798768
23001020800,"ME83","Maine",23001,3,107317,467.949,44.1021747,-70.1497087,18.14959565,"Hannaford Supermarket & Pharmacy","50 Pigeon Hill Rd",44.078188,-70.415454,44.078188,-70.415454,21414.7075996839,107317,467.949,3,3,229.334820674903,1440.01031849661
23001020800,"ME9","Maine",23001,3,107317,467.949,44.1021747,-70.1497087,18.14959565,"HANNAFORD FOOD AND DRUG","49 TOPSHAM FAIR MALL ROAD SUITE 1",43.9389,-69.980095,43.9172599090909,-69.9179987272727,22686.9805935838,289173,835.947,2,3,345.922648206166,1484.75888916663
23001020900,"ME6","Maine",23001,3,107317,467.949,44.1387836,-70.1936111,11.17023423,"OSCO PHARMACY #2550","600 CENTER ST",44.124021,-70.226472,44.0992168666667,-70.2165329333333,3097.44646270535,107317,467.949,3,3,229.334820674903,658.22961317037
23001020900,"ME61","Maine",23001,3,107317,467.949,44.1387836,-70.1936111,11.17023423,"Greene Village Pharmacy","526 Route 202",44.187181,-70.154998,44.187181,-70.154998,6207.56844728288,107317,467.949,3,3,229.334820674903,790.969619472139
23001020900,"ME66","Maine",23001,3,107317,467.949,44.1387836,-70.1936111,11.17023423,"Hannaford Supermarket & Pharmacy","23 Snell Hill Rd",44.250738,-70.261457,44.250738,-70.261457,13588.27603388,107317,467.949,3,3,229.334820674903,1105.9782192681
23001020900,"ME75","Maine",23001,3,107317,467.949,44.1387836,-70.1936111,11.17023423,"Walgreens #19908","575 LISBON STREET",44.004663,-70.075061,44.004663,-70.075061,17686.5065719248,107317,467.949,3,3,229.334820674903,1280.89069863186
23001020900,"ME83","Maine",23001,3,107317,467.949,44.1387836,-70.1936111,11.17023423,"Hannaford Supermarket & Pharmacy","50 Pigeon Hill Rd",44.078188,-70.415454,44.078188,-70.415454,18971.5920056815,107317,467.949,3,3,229.334820674903,1335.73814494459
23001030100,"ME23","Maine",23001,3,107317,467.949,44.0105227,-70.1274085,10.23066008,"CVS Pharmacy #08245","10 Middle St",43.857527,-70.10107,43.8265035,-70.14710225,17161.7851756985,289173,835.947,2,3,345.922648206166,1248.94354873128
23001030100,"ME57","Maine",23001,3,107317,467.949,44.0105227,-70.1274085,10.23066008,"Hannaford Supermarket & Pharmacy","130 Shaker Rd",43.903123,-70.343657,43.893039,-70.342705,21053.0996278817,289173,835.947,2,3,345.922648206166,1415.02484955046
23001030100,"ME6","Maine",23001,3,107317,467.949,44.0105227,-70.1274085,10.23066008,"OSCO PHARMACY #4559","27 EAST AVE",44.086232,-70.199966,44.0992168666667,-70.2165329333333,10233.8975587029,107317,467.949,3,3,229.334820674903,962.813345947545
23001030100,"ME61","Maine",23001,3,107317,467.949,44.0105227,-70.1274085,10.23066008,"Greene Village Pharmacy","526 Route 202",44.187181,-70.154998,44.187181,-70.154998,19788.8090598135,107317,467.949,3,3,229.334820674903,1370.61696881495
23001030100,"ME75","Maine",23001,3,107317,467.949,44.0105227,-70.1274085,10.23066008,"Walgreens #19908","575 LISBON STREET",44.004663,-70.075061,44.004663,-70.075061,4241.72596099798,107317,467.949,3,3,229.334820674903,707.067462157499
23001030100,"ME9","Maine",23001,3,107317,467.949,44.0105227,-70.1274085,10.23066008,"CVS Pharmacy #17213","125 TOPSHAM FAIR MALL RD",43.933655,-69.985398,43.9172599090909,-69.9179987272727,14235.7794467539,289173,835.947,2,3,345.922648206166,1124.06162421993
23001030200,"ME23","Maine",23001,3,107317,467.949,44.0366878,-70.0587993,10.40276029,"CVS Pharmacy #08245","10 Middle St",43.857527,-70.10107,43.8265035,-70.14710225,20229.794085743,289173,835.947,2,3,345.922648206166,1379.88616901198
23001030200,"ME6","Maine",23001,3,107317,467.949,44.0366878,-70.0587993,10.40276029,"Hannaford Supermarket & Pharmacy","692 SABATTUS ST",44.102882,-70.179831,44.0992168666667,-70.2165329333333,12165.8441968767,107317,467.949,3,3,229.334820674903,1045.2688284648
23001030200,"ME61","Maine",23001,3,107317,467.949,44.0366878,-70.0587993,10.40276029,"Greene Village Pharmacy","526 Route 202",44.187181,-70.154998,44.187181,-70.154998,18432.9416991062,107317,467.949,3,3,229.334820674903,1312.74854985996
23001030200,"ME75","Maine",23001,3,107317,467.949,44.0366878,-70.0587993,10.40276029,"Walgreens #19908","575 LISBON STREET",44.004663,-70.075061,44.004663,-70.075061,3795.20836161733,107317,467.949,3,3,229.334820674903,688.010091015933
23001030200,"ME9","Maine",23001,3,107317,467.949,44.0366878,-70.0587993,10.40276029,"HANNAFORD FOOD AND DRUG","49 TOPSHAM FAIR MALL ROAD SUITE 1",43.9389,-69.980095,43.9172599090909,-69.9179987272727,12579.1236431321,289173,835.947,2,3,345.922648206166,1053.35555452135
